alpha3_code,date,name
AFG,2017-05-27,First Day of Ramadan
AFG,2017-06-26,Eid al-Fitr
AFG,2017-06-27,Eid al-Fitr
AFG,2017-06-28,Eid al-Fitr
AFG,2017-08-19,Afghanistan Independence Day
AFG,2017-09-01,Day of Arafah
AFG,2017-09-02,Eid al-Adha
AFG,2017-09-03,Eid al-Adha
AFG,2017-09-04,Eid al-Adha
AFG,2017-09-09,Martyrs' Day
AFG,2017-10-01,Ashura
AFG,2017-12-01,Prophet's Birthday
AFG,2018-02-15,Liberation Day
AFG,2018-03-21,Nowruz
AFG,2018-04-28,Mojahedin's Victory Day
AFG,2018-05-01,International Workers' Day
AFG,2018-05-16,First Day of Ramadan
AFG,2018-06-15,Eid al-Fitr
AFG,2018-06-16,Eid al-Fitr
AFG,2018-06-17,Eid al-Fitr
AFG,2018-08-19,Afghanistan Independence Day
AFG,2018-08-21,Day of Arafah
AFG,2018-08-22,Eid al-Adha
AFG,2018-08-23,Eid al-Adha
AFG,2018-08-24,Eid al-Adha
AFG,2018-09-09,Martyrs' Day
AFG,2018-09-21,Ashura
AFG,2018-11-21,Prophet's Birthday
AFG,2019-02-15,Liberation Day
AFG,2019-03-21,Nowruz
AFG,2019-04-28,Mojahedin's Victory Day
AFG,2019-05-01,International Workers' Day
AFG,2019-05-06,First Day of Ramadan
AFG,2019-06-04,Eid al-Fitr
AFG,2019-06-05,Eid al-Fitr
AFG,2019-06-06,Eid al-Fitr
AFG,2019-08-10,Day of Arafah
AFG,2019-08-11,Eid al-Adha
AFG,2019-08-12,Eid al-Adha
AFG,2019-08-13,Eid al-Adha
AFG,2019-08-19,Afghanistan Independence Day
AFG,2019-09-09,Martyrs' Day
AFG,2019-09-10,Ashura
AFG,2019-11-10,Prophet's Birthday
AFG,2020-02-15,Liberation Day
AFG,2020-03-20,Nowruz
AFG,2020-04-24,First Day of Ramadan
AFG,2020-04-28,Mojahedin's Victory Day
AFG,2020-05-01,International Workers' Day
AFG,2020-05-24,Eid al-Fitr
AFG,2020-05-25,Eid al-Fitr
AFG,2020-05-26,Eid al-Fitr
AFG,2020-07-30,Day of Arafah
AFG,2020-07-31,Eid al-Adha
AFG,2020-08-01,Eid al-Adha
AFG,2020-08-02,Eid al-Adha
AFG,2020-08-19,Afghanistan Independence Day
AFG,2020-08-30,Ashura
AFG,2020-09-09,Martyrs' Day
AFG,2020-10-29,Prophet's Birthday
AFG,2021-02-15,Liberation Day
AFG,2021-04-13,First Day of Ramadan
AFG,2021-04-28,Mojahedin's Victory Day
AFG,2021-05-01,International Workers' Day
AFG,2021-05-13,Eid al-Fitr
AFG,2021-05-14,Eid al-Fitr
AFG,2021-05-15,Eid al-Fitr
AFG,2021-07-19,Day of Arafah
AFG,2021-07-20,Eid al-Adha
AFG,2021-07-21,Eid al-Adha
AFG,2021-07-22,Eid al-Adha
AFG,2021-08-19,Afghanistan Independence Day; Ashura
AFG,2021-10-19,Prophet's Birthday
AFG,2022-02-15,Liberation Day
AFG,2022-04-02,First Day of Ramadan
AFG,2022-04-28,Mojahedin's Victory Day
AFG,2022-05-01,Eid al-Fitr
AFG,2022-05-02,Eid al-Fitr
AFG,2022-05-03,Eid al-Fitr
AFG,2022-07-08,Day of Arafah
AFG,2022-07-09,Eid al-Adha
AFG,2022-07-10,Eid al-Adha
AFG,2022-07-11,Eid al-Adha
AFG,2022-08-15,Islamic Emirate Victory Day
AFG,2022-08-19,Afghanistan Independence Day
AFG,2022-08-31,American Withdrawal Day
AFG,2022-10-08,Prophet's Birthday
AFG,2023-02-15,Liberation Day
AFG,2023-03-23,First Day of Ramadan
AFG,2023-04-22,Eid al-Fitr
AFG,2023-04-23,Eid al-Fitr
AFG,2023-04-24,Eid al-Fitr
AFG,2023-04-28,Mojahedin's Victory Day
AFG,2023-06-27,Day of Arafah
AFG,2023-06-28,Eid al-Adha
AFG,2023-06-29,Eid al-Adha
AFG,2023-06-30,Eid al-Adha
AFG,2023-08-15,Islamic Emirate Victory Day
AFG,2023-08-19,Afghanistan Independence Day
AFG,2023-08-31,American Withdrawal Day
AFG,2023-09-27,Prophet's Birthday
AFG,2024-02-15,Liberation Day
AFG,2024-03-11,First Day of Ramadan
AFG,2024-04-10,Eid al-Fitr
AFG,2024-04-11,Eid al-Fitr
AFG,2024-04-12,Eid al-Fitr
AFG,2024-04-28,Mojahedin's Victory Day
AFG,2024-06-16,Day of Arafah
AFG,2024-06-17,Eid al-Adha
AFG,2024-06-18,Eid al-Adha
AFG,2024-06-19,Eid al-Adha
AFG,2024-08-14,Islamic Emirate Victory Day
AFG,2024-08-19,Afghanistan Independence Day
AFG,2024-08-31,American Withdrawal Day
AFG,2024-09-16,Prophet's Birthday
AFG,2025-02-15,Liberation Day
AFG,2025-03-01,First Day of Ramadan
AFG,2025-03-30,Eid al-Fitr
AFG,2025-03-31,Eid al-Fitr
AFG,2025-04-01,Eid al-Fitr
AFG,2025-04-28,Mojahedin's Victory Day
AFG,2025-06-06,Day of Arafah
AFG,2025-06-07,Eid al-Adha
AFG,2025-06-08,Eid al-Adha
AFG,2025-06-09,Eid al-Adha
AFG,2025-08-15,Islamic Emirate Victory Day
AFG,2025-08-19,Afghanistan Independence Day
AFG,2025-08-31,American Withdrawal Day
AFG,2025-09-05,Prophet's Birthday
AFG,2026-02-15,Liberation Day
AFG,2026-02-18,First Day of Ramadan (estimated)
AFG,2026-03-20,Eid al-Fitr (estimated)
AFG,2026-03-21,Eid al-Fitr (estimated)
AFG,2026-03-22,Eid al-Fitr (estimated)
AFG,2026-04-28,Mojahedin's Victory Day
AFG,2026-05-26,Day of Arafah (estimated)
AFG,2026-05-27,Eid al-Adha (estimated)
AFG,2026-05-28,Eid al-Adha (estimated)
AFG,2026-05-29,Eid al-Adha (estimated)
AFG,2026-08-15,Islamic Emirate Victory Day
AFG,2026-08-19,Afghanistan Independence Day
AFG,2026-08-25,Prophet's Birthday (estimated)
AFG,2026-08-31,American Withdrawal Day
AGO,2015-01-01,New Year's Day
AGO,2015-02-04,Liberation Movement Day
AGO,2015-02-17,Carnival Day
AGO,2015-03-08,International Women's Day
AGO,2015-03-09,Day off for International Women's Day
AGO,2015-04-03,Good Friday
AGO,2015-04-04,Peace and National Reconciliation Day
AGO,2015-05-01,International Worker's Day
AGO,2015-09-17,National Heroes' Day
AGO,2015-11-02,All Souls' Day
AGO,2015-11-11,National Independence Day
AGO,2015-12-25,Christmas and Family Day
AGO,2016-01-01,New Year's Day
AGO,2016-02-04,Liberation Movement Day
AGO,2016-02-09,Carnival Day
AGO,2016-03-08,International Women's Day
AGO,2016-03-25,Good Friday
AGO,2016-04-04,Peace and National Reconciliation Day
AGO,2016-05-01,International Worker's Day
AGO,2016-05-02,Day off for International Worker's Day
AGO,2016-09-17,National Heroes' Day
AGO,2016-11-02,All Souls' Day
AGO,2016-11-11,National Independence Day
AGO,2016-12-25,Christmas and Family Day
AGO,2017-01-01,New Year's Day
AGO,2017-02-04,Liberation Movement Day
AGO,2017-02-28,Carnival Day
AGO,2017-03-08,International Women's Day
AGO,2017-04-04,Peace and National Reconciliation Day
AGO,2017-04-14,Good Friday
AGO,2017-05-01,International Worker's Day
AGO,2017-08-23,General Election Day
AGO,2017-09-17,National Heroes' Day
AGO,2017-09-18,Day off for National Heroes' Day
